depth,seed,model,val_acc
2,0,walkraw,0.6720170497894287
2,0,quotient,0.44730113744735717
2,1,walkraw,0.5460227251052856
2,1,quotient,0.384375
2,2,walkraw,0.5657670497894287
2,2,quotient,0.365625
2,3,walkraw,0.7981534123420715
2,3,quotient,0.39630681872367857
2,4,walkraw,0.50625
2,4,quotient,0.35426136255264284
3,0,walkraw,0.3359375
3,0,quotient,0.2181818187236786
3,1,walkraw,0.4542613625526428
3,1,quotient,0.32272727489471437
3,2,walkraw,0.5353693127632141
3,2,quotient,0.3193181812763214
3,3,walkraw,0.6693181872367859
3,3,quotient,0.42457386255264284
3,4,walkraw,0.5115056872367859
3,4,quotient,0.22357954680919648
